action,weekday,month,day,year,hour,score
get_like,4,4,15,2016,23,16
get_like,5,4,16,2016,11,2
get_like,5,4,16,2016,17,1
get_like,5,4,16,2016,17,1
get_like,5,4,16,2016,19,1
get_like,6,4,17,2016,2,1
get_like,6,4,17,2016,12,2
get_like,6,4,17,2016,13,1
get_like,6,4,17,2016,15,1
get_like,6,4,17,2016,16,5
get_like,6,4,17,2016,16,1
get_like,6,4,17,2016,18,1
get_like,6,4,17,2016,19,1
get_like,6,4,17,2016,21,1
get_like,6,4,17,2016,22,1
get_like,6,4,17,2016,23,1
get_like,0,4,18,2016,3,1
get_like,0,4,18,2016,9,2
get_like,0,4,18,2016,15,1
get_like,0,4,18,2016,20,1
get_like,0,4,18,2016,20,1
get_like,1,4,19,2016,0,1
get_like,1,4,19,2016,3,1
get_like,1,4,19,2016,9,1
get_like,1,4,19,2016,11,2
get_like,1,4,19,2016,12,1
get_like,1,4,19,2016,16,1
get_like,1,4,19,2016,17,3
get_like,1,4,19,2016,23,1
get_like,2,4,20,2016,10,1
get_like,3,4,21,2016,9,1
get_like,3,4,21,2016,11,1
get_like,5,4,23,2016,14,8
get_like,5,4,23,2016,18,1
get_like,6,4,24,2016,16,1
get_like,6,4,24,2016,17,5
get_like,6,4,24,2016,18,4
get_like,0,4,25,2016,23,11
get_like,1,4,26,2016,10,1
get_like,1,4,26,2016,11,1
get_like,1,4,26,2016,11,1
get_like,1,4,26,2016,11,1
get_like,1,4,26,2016,11,1
get_like,1,4,26,2016,11,1
get_like,1,4,26,2016,11,2
get_like,1,4,26,2016,11,1
get_like,1,4,26,2016,12,1
get_like,1,4,26,2016,12,2
get_like,1,4,26,2016,12,1
get_like,1,4,26,2016,12,1
get_like,1,4,26,2016,16,2
get_like,1,4,26,2016,18,2
get_like,1,4,26,2016,21,1
get_like,1,4,26,2016,21,1
get_like,1,4,26,2016,23,2
